test_set,rank_within_test_set,image_id,dataset_index,threshold,tp,fp,fn,tn,precision,recall,f1,iou,accuracy,specificity,false_positive_rate,false_negative_rate,gt_area,pred_area,pred_gt_area_ratio
TestingSet,2,TestingSet_000000,0,0.05,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.06,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.07,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.08,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.09,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.1,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.11,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.12,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.13,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.14,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.15,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.16,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.17,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
TestingSet,2,TestingSet_000000,0,0.18,13,809,27,3247,0.015815085158150853,0.325,0.030162412993039445,0.015312131919905771,0.7958984375,0.8005424063116371,0.1994575936883629,0.675,40,822,20.55
